ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch1.parts.0.points.1.practice.0.items.1.options.2	{首相|しゅしょう}は理由をはっきり言うべきだ
ch1.parts.0.points.1.practice.0.items.1.q	突然、首相が{辞意|じい}を{表明|ひょうめい}したとあって、（　）。
ch1.parts.0.points.1.practice.0.prompt.ja	
ch1.parts.0.points.1.practice.0.type	choice
ch1.parts.0.points.1.stars	3
ch1.parts.0.points.1.usage.ja	「〜とあって」は「特別な〜なので、普通と違う／他と違う状況になる」と言いたいときに使われる。社会的な現象や{客観的|きゃっかんてき}な事実について言うときに使う。
ch1.parts.0.points.2.examples.0.ja	凍った湖の上でのスケートは、{北国|きたぐに}ならではの楽しい遊びだ。
ch1.parts.0.points.2.examples.1.ja	{大企業|だいきぎょう}にはない、{中小企業|ちゅうしょうきぎょう}ならではの良さについて考える。
ch1.parts.0.points.2.examples.2.ja	{初詣|はつもうで}は神社、結婚式は教会、{葬式|そうしき}は寺でする人が珍しくないのは、{宗教|しゅうきょう}に{寛容|かんよう}な日本ならではだと思う。
ch1.parts.0.points.2.formNotes.0.ja	＊「〜は[N]ならではだ」の形も使われる。
ch1.parts.0.points.2.forms.0	[N₁] + ならではの + [N₂]
ch1.parts.0.points.2.marks.0	praise
ch1.parts.0.points.2.no	3
ch1.parts.0.points.2.pattern	〜ならではの
ch1.parts.0.points.2.phrase	バイエルン地方**ならではの**ダンス
ch1.parts.0.points.2.practice.0.items.0.answer	0
ch1.parts.0.points.2.practice.0.items.0.options.0	これは専門店でしか出せない独特の味と香りだ。
ch1.parts.0.points.2.practice.0.items.0.options.1	これは専門店ならどこでも似ている味と香りだ。
ch1.parts.0.points.2.practice.0.items.0.q	これは専門店ならではの味と香りだ。
ch1.parts.0.points.2.practice.0.items.1.answer	1
ch1.parts.0.points.2.practice.0.items.1.options.0	{聖火|せいか}リレーはオリンピックのときが特に{素晴|すば}らしいものだ。
ch1.parts.0.points.2.practice.0.items.1.options.1	{聖火|せいか}リレーはオリンピックでしか見られない特別なものだ。
ch1.parts.0.points.2.practice.0.items.1.q	{聖火|せいか}リレーはオリンピックならではのものだ。
ch1.parts.0.points.2.practice.0.prompt.ja	
ch1.parts.0.points.2.practice.0.type	choice
ch1.parts.0.points.2.stars	2
ch1.parts.0.points.2.usage.ja	「AならではのB」は「〜は他にはないAだけが持つ特別なもの（B）だ」と言いたいときに使われる。
ch1.parts.0.points.3.examples.0.ja	{選挙|せんきょ}を1週間後に{控|ひか}え、記者たちは普段にもまして忙しい。
ch1.parts.0.points.3.examples.1.ja	論文が国際的に評価されてから、彼は以前にもまして研究に打ち込んでいる。
ch1.parts.0.points.3.examples.2.ja	この山は{桜|さくら}の季節もいいが、それにもまして{紅葉|こうよう}の{頃|ころ}が美しい。
ch1.parts.0.points.3.examples.3.ja	両親が私の言葉を信じてくれたことが、何にもましてありがたかった。
ch1.parts.0.points.3.formNotes.0.ja	＊「いつ／だれ／どこ／何 + にもまして」などの形も使われる。
ch1.parts.0.points.3.forms.0	[N] + にもまして
ch1.parts.0.points.3.no	4
ch1.parts.0.points.3.pattern	〜にもまして
ch1.parts.0.points.3.phrase	{例年|れいねん}**にもまして**
ch1.parts.0.points.3.practice.0.items.0.answer	1
ch1.parts.0.points.3.practice.0.items.0.options.0	今日
ch1.parts.0.points.3.practice.0.items.0.options.1	いつ
ch1.parts.0.points.3.practice.0.items.0.q	サミット会場に向かう道路には、（　）にもまして警官の{姿|すがた}が目立った。
ch1.parts.0.points.3.practice.0.items.1.answer	0
ch1.parts.0.points.3.practice.0.items.1.options.0	{従来|じゅうらい}
ch1.parts.0.points.3.practice.0.items.1.options.1	将来
ch1.parts.0.points.3.practice.0.items.1.q	環境に{配慮|はいりょ}した製品の開発は、（　）にもまして重要になっている。
ch1.parts.0.points.3.practice.0.items.2.answer	1
ch1.parts.0.points.3.practice.0.items.2.options.0	何
ch1.parts.0.points.3.practice.0.items.2.options.1	{誰|だれ}
ch1.parts.0.points.3.practice.0.items.2.q	キャプテンである君が（　）にもまして勝ちにこだわる{姿勢|しせい}を見せなければならない。
ch1.parts.0.points.3.practice.0.items.3.answer	1
ch1.parts.0.points.3.practice.0.items.3.options.0	それ
ch1.parts.0.points.3.practice.0.items.3.options.1	前
ch1.parts.0.points.3.practice.0.items.3.q	新しい駅ビルが完成して、駅周辺は（　）にもましてにぎやかになった。
ch1.parts.0.points.3.practice.0.prompt.ja	
ch1.parts.0.points.3.practice.0.type	choice
ch1.parts.0.points.3.stars	2
ch1.parts.0.points.3.usage.ja	「〜にもまして」は「〜以上に／〜もそうだがさらに」と言いたいときに使われる。
ch1.parts.0.points.4.examples.0.ja	現在、{関東|かんとう}地方から{東北|とうほく}地方に{至|いた}るまで、{大雪|おおゆき}のため交通がマヒしている。
ch1.parts.0.points.4.examples.1.ja	この{博物館|はくぶつかん}では、{明治|めいじ}時代から現在に{至|いた}るまでのファッションを{展示|てんじ}している。
ch1.parts.0.points.4.examples.2.ja	彼は{村上春樹|むらかみはるき}の{大|だい}ファンで、小説からコラムに{至|いた}るまですべて目を通しているらしい。
ch1.parts.0.points.4.examples.3.ja	竹は、{工芸品|こうげいひん}から{衣類|いるい}・食品に{至|いた}るまでさまざまな製品に使われている。
ch1.parts.0.points.4.forms.0	[N] + に{至|いた}るまで
ch1.parts.0.points.4.marks.0	formal
ch1.parts.0.points.4.no	5
ch1.parts.0.points.4.notes.0.examples.0.ja	彼は{長年|ながねん}にわたって、サルからヒトに{至|いた}るまでの{進化|しんか}の過程を研究している。
ch1.parts.0.points.4.notes.0.examples.1.ja	このドキュメンタリーでは、1人の女性が日本{初|はつ}の{介護靴|かいごぐつ}を作るに{至|いた}った{経緯|けいい}を追った。
ch1.parts.0.points.4.notes.0.examples.2.idiom	true
ch1.parts.0.points.4.notes.0.examples.2.ja	社長は責任{逃|のが}れの言い{訳|わけ}を{繰|く}り返していたが、{事|こと}ここに{至|いた}っては{辞任|じにん}するしかないだろう。
ch1.parts.0.points.4.notes.0.ja	「[V-る]／[N] + に{至|いた}る」は「〜という段階や{状態|じょうたい}に{達|たっ}する」という意味で使われる。
ch1.parts.0.points.4.pattern	〜に{至|いた}るまで
ch1.parts.0.points.4.phrase	小さな子ども**に{至|いた}るまで**
ch1.parts.0.points.4.practice.0.items.0.answer	0
ch1.parts.0.points.4.practice.0.items.0.options.0	さまざまな
ch1.parts.0.points.4.practice.0.items.0.options.1	2つの
ch1.parts.0.points.4.practice.0.items.0.q	当社は、{電源|でんげん}プラグから宇宙開発用ロボットに{至|いた}るまで、（　）製品で、皆様に豊かな暮らしをご{提案|ていあん}しております。
ch1.parts.0.points.4.practice.0.items.1.answer	0
ch1.parts.0.points.4.practice.0.items.1.options.0	1人1人に合った指導を行っています
ch1.parts.0.points.4.practice.0.items.1.options.1	20年程度かかります
ch1.parts.0.points.4.practice.0.items.1.q	当スイミングスクールでは、{幼児|ようじ}から学生、{成人|せいじん}、選手{育成|いくせい}に{至|いた}るまで（　）。
ch1.parts.0.points.4.practice.0.items.2.answer	1
ch1.parts.0.points.4.practice.0.items.2.options.0	非常に限られている
ch1.parts.0.points.4.practice.0.items.2.options.1	{広範囲|こうはんい}に{及|およ}んでいる
ch1.parts.0.points.4.practice.0.items.2.q	{乳酸菌|にゅうさんきん}を利用したものは、キムチから{整腸薬|せいちょうやく}に{至|いた}るまで（　）。
ch1.parts.0.points.4.practice.0.prompt.ja	
ch1.parts.0.points.4.practice.0.type	choice
ch1.parts.0.points.4.stars	3
ch1.parts.0.points.4.usage.ja	「〜に{至|いた}るまで」は「〜までの場所や時間などその{範囲|はんい}すべて」と言うときに使われる。「髪の毛1本に{至|いた}るまで」「宇宙開発に{至|いた}るまで」のように、「非常に細かいことや大きいことまで、{範囲|はんい}が広い」と言いたいときにも使われる。
ch1.parts.0.points.5.examples.0.ja	有名デパートの店員は、言葉{遣|づか}いからして{丁寧|ていねい}だ。
ch1.parts.0.points.5.examples.1.ja	さすが{元|もと}バレリーナ。立っている{姿|すがた}からして美しい。
ch1.parts.0.points.5.examples.2.ja	グルメの友人は、朝食のパンからして有名店のものを選ぶ。
ch1.parts.0.points.5.examples.3.ja	このパソコンは古すぎる。{起動|きどう}にかかる時間からして{最新機種|さいしんきしゅ}の3倍以上だ。
ch1.parts.0.points.5.forms.0	[N] + からして
ch1.parts.0.points.5.no	6
ch1.parts.0.points.5.pattern	〜からして
ch1.parts.0.points.5.phrase	{雰囲気|ふんいき}**からして**
ch1.parts.0.points.5.practice.0.items.0.answer	0
ch1.parts.0.points.5.practice.0.items.0.options.0	からして
ch1.parts.0.points.5.practice.0.items.0.options.1	からすると
ch1.parts.0.points.5.practice.0.items.0.q	このホテルはロビー（　）{薄暗|うすぐら}くてかび{臭|くさ}い。
ch1.parts.0.points.5.practice.0.items.1.answer	0
ch1.parts.0.points.5.practice.0.items.1.options.0	からして
ch1.parts.0.points.5.practice.0.items.1.options.1	から見て
ch1.parts.0.points.5.practice.0.items.1.q	{懐石|かいせき}料理は、食器（　）季節感を大切にしている。
ch1.parts.0.points.5.practice.0.items.2.answer	1
ch1.parts.0.points.5.practice.0.items.2.options.0	からして
ch1.parts.0.points.5.practice.0.items.2.options.1	までして
ch1.parts.0.points.5.practice.0.items.2.q	彼は{親戚|しんせき}から借金（　）会社{設立|せつりつ}の{資金|しきん}を集めた。
ch1.parts.0.points.5.practice.0.prompt.ja	
ch1.parts.0.points.5.practice.0.type	choice
ch1.parts.0.points.5.stars	2
ch1.parts.0.points.5.usage.ja	「AからしてB」は「女優は歩き方からして美しい」のように、「A（歩き方）を一例としてすべてB（美しい）」と言いたいときに使う。Aには、まず気がついたこと、あるいは一番重要ではない部分を言う。また、Bの程度が{極端|きょくたん}なことを、Aを例にして言いたいときにも使われる。
ch1.parts.0.sample.heading	ビールの{祭典|さいてん}　200周年
オクトーバーフェスト{開幕|かいまく}　ミュンヘン
ch1.parts.0.sample.lines	ABK新聞　2010年9月20日18日、ドイツのミュンヘンで「オクトーバーフェスト」が{開幕|かいまく}した。この世界最大のビール祭りは、ミュンヘン市長による「{樽開|たるあ}け」**を{皮切|かわき}りに**、16日間にわたって、42ヘクタール（{東京|とうきょう}ドーム約九個分）の{敷地|しきち}で{繰|く}り{広|ひろ}げられる。さすが世界一のビールの{本場|ほんば}**とあって**、毎年、{各国|かっこく}から六〇〇万人以上の観光客が{訪|おとず}れている。今年は、二〇〇周年という歴史的{節目|ふしめ}にあたることから、二〇〇年前のお祭りムードを{再現|さいげん}するヒストリーテントも特別に{設置|せっち}された。ノスタルジックな{雰囲気|ふんいき}の{漂|ただよ}うテントの中では、{連日|れんじつ}バイエルン地方**ならではの**ダンスやパレード、{競馬|けいば}がそれぞれ一日二回ずつ{開催|かいさい}される予定になっており、{例年|れいねん}**にもまして**、多くの{集客|しゅうきゃく}が{見込|みこ}まれている。「オクトーバーフェスト」といえば、もちろんビールがメインだが、ノンアルコール{飲料|いんりょう}のバーや、メリーゴーラウンドやジェットコースターのある移動遊園地なども開かれ、家族{連|づ}れの{姿|すがた}も多く見られる。今やビール{好|ず}きの大人はもとより小さな子ども**に{至|いた}るまで**、あらゆる人々が楽しめる国際的なイベントとなっている。日本から来たという観光客の一人は、「さすが、{本場|ほんば}は{雰囲気|ふんいき}**からして**全く違う」と{興奮気味|こうふんぎみ}に語っていた。
ch1.review.0.ex.items.0.answer	0
ch1.review.0.ex.items.0.options.0	とあって
ch1.review.0.ex.items.0.options.1	にもかかわらず
ch1.review.0.ex.items.0.options.2	に{至|いた}るまで
ch1.review.0.ex.items.0.options.3	のあげく
ch1.review.0.ex.items.0.q	{地元|じもと}チームの優勝パレード（　）、駅前の通りは見物客でごった{返|がえ}している。
ch1.review.0.ex.items.1.answer	3
ch1.review.0.ex.items.1.options.0	を{皮切|かわき}りに
ch1.review.0.ex.items.1.options.1	に{至|いた}るまで
ch1.review.0.ex.items.1.options.2	ならでは
ch1.review.0.ex.items.1.options.3	にもまして
ch1.review.0.ex.items.1.q	今年は雨が少なく、{例年|れいねん}（　）暑さが{厳|きび}しい。
ch1.review.0.ex.items.2.answer	3
ch1.review.0.ex.items.2.options.0	からして
ch1.review.0.ex.items.2.options.1	を{皮切|かわき}りに
ch1.review.0.ex.items.2.options.2	に{至|いた}って
ch1.review.0.ex.items.2.options.3	にわたって
ch1.review.0.ex.items.2.q	そのドラマは3年間（　）放送された。
ch1.review.0.ex.items.3.answer	0
ch1.review.0.ex.items.3.options.0	にかけて
ch1.review.0.ex.items.3.options.1	に{至|いた}って
ch1.review.0.ex.items.3.options.2	にもまして
ch1.review.0.ex.items.3.options.3	ならではの
ch1.review.0.ex.items.3.q	{東北|とうほく}地方から{関東|かんとう}北部（　）広い{範囲|はんい}で{積雪|せきせつ}が見られた。
ch1.review.0.ex.items.4.answer	3
ch1.review.0.ex.items.4.options.0	に{至|いた}って
ch1.review.0.ex.items.4.options.1	ならでは
ch1.review.0.ex.items.4.options.2	とあって
ch1.review.0.ex.items.4.options.3	からして
ch1.review.0.ex.items.4.q	{石田|いしだ}さんのお宅、{玄関|げんかん}の{造|つく}り（　）普通の家とは全然違うね。
ch1.review.0.ex.items.5.answer	3
ch1.review.0.ex.items.5.options.0	に{至|いた}っても
ch1.review.0.ex.items.5.options.1	に{至|いた}るまで
ch1.review.0.ex.items.5.options.2	に{至|いた}る
ch1.review.0.ex.items.5.options.3	に{至|いた}っては
ch1.review.0.ex.items.5.q	合格したのに、手続きを忘れていた。{事|こと}ここ（　）、もうどうすることもできない。
ch1.review.0.ex.items.6.answer	2
ch1.review.0.ex.items.6.options.0	だらけ
ch1.review.0.ex.items.6.options.1	だけあって
ch1.review.0.ex.items.6.options.2	ならでは
ch1.review.0.ex.items.6.options.3	向け
ch1.review.0.ex.items.6.q	{満開|まんかい}の{桜|さくら}の下、花見客のにぎわいは、日本の春（　）の光景と言えよう。
ch1.review.0.ex.prompt.ja	次の文の（　）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
ch1.review.0.ex.type	choice
ch1.review.0.title.ja	問題1 〈文法形式の判断〉
ch1.review.1.ex.items.0.after	さまざまな形で使われている。
ch1.review.1.ex.items.0.before	石油は{燃料|ねんりょう}としてはもちろん
ch1.review.1.ex.items.0.order.0	0
ch1.review.1.ex.items.0.order.1	3
ch1.review.1.ex.items.0.order.2	1
ch1.review.1.ex.items.0.order.3	2
ch1.review.1.ex.items.0.pieces.0	{衣類|いるい}や{化粧品|けしょうひん}
ch1.review.1.ex.items.0.pieces.1	{我々|われわれ}の
ch1.review.1.ex.items.0.pieces.2	生活に
ch1.review.1.ex.items.0.pieces.3	に{至|いた}るまで
ch1.review.1.ex.items.0.star	2
ch1.review.1.ex.items.1.after	での{公演|こうえん}が予定されている。
ch1.review.1.ex.items.1.before	話題の
ch1.review.1.ex.items.1.order.0	1
ch1.review.1.ex.items.1.order.1	2
ch1.review.1.ex.items.1.order.2	3
ch1.review.1.ex.items.1.order.3	0
ch1.review.1.ex.items.1.pieces.0	日本全国
ch1.review.1.ex.items.1.pieces.1	ミュージカルは
ch1.review.1.ex.items.1.pieces.2	東京
ch1.review.1.ex.items.1.pieces.3	を{皮切|かわき}りとして
ch1.review.1.ex.items.1.star	2
ch1.review.1.ex.items.2.after	練習に{励|はげ}んでいる。
ch1.review.1.ex.items.2.before	オリンピックの代表
ch1.review.1.ex.items.2.order.0	0
ch1.review.1.ex.items.2.order.1	3
ch1.review.1.ex.items.2.order.2	2
ch1.review.1.ex.items.2.order.3	1
ch1.review.1.ex.items.2.pieces.0	に決まった
ch1.review.1.ex.items.2.pieces.1	にもまして
ch1.review.1.ex.items.2.pieces.2	以前
ch1.review.1.ex.items.2.pieces.3	{田中|たなか}選手は
ch1.review.1.ex.items.2.star	2
ch1.review.1.ex.prompt.ja	次の文の＿★＿に入る最もよいものを、1・2・3・4から一つ選びなさい。
ch1.review.1.ex.type	order
ch1.review.1.title.ja	問題2 〈文の組み立て〉
ch1.review.2.ex.blanks.0.answer	0
ch1.review.2.ex.blanks.0.options.0	とあって
ch1.review.2.ex.blanks.0.options.1	とともに
ch1.review.2.ex.blanks.0.options.2	につれて
ch1.review.2.ex.blanks.0.options.3	にしたがい
ch1.review.2.ex.blanks.1.answer	1
ch1.review.2.ex.blanks.1.options.0	とともに
ch1.review.2.ex.blanks.1.options.1	を{皮切|かわき}りに
ch1.review.2.ex.blanks.1.options.2	にしたがって
ch1.review.2.ex.blanks.1.options.3	だけに
ch1.review.2.ex.blanks.2.answer	0
ch1.review.2.ex.blanks.2.options.0	に{至|いた}るまで
ch1.review.2.ex.blanks.2.options.1	のために
ch1.review.2.ex.blanks.2.options.2	にもまして
ch1.review.2.ex.blanks.2.options.3	さえ
ch1.review.2.ex.blanks.3.answer	3
ch1.review.2.ex.blanks.3.options.0	とあって
ch1.review.2.ex.blanks.3.options.1	ばかりか
ch1.review.2.ex.blanks.3.options.2	に{至|いた}った
ch1.review.2.ex.blanks.3.options.3	ならでは
ch1.review.2.ex.prompt.ja	次の文章を読んで、［1］から［4］の中に入る最もよいものを、1・2・3・4から一つ選びなさい。
ch1.review.2.ex.text.0	今回のゲームショーは{業界|ぎょうかい}最大級のイベント[1]、海外からも多くのゲーム{愛好者|あいこうしゃ}が参加する。9月20日からのこのショー[2]、各ゲーム会社は12月まで続く{年末商戦|ねんまつしょうせん}に{突入|とつにゅう}する。
ch1.review.2.ex.text.1	{初日|しょにち}のビジネスデーには、関係者がつめかける。{翌日|よくじつ}からの一般{公開日|こうかいび}も会場内はにぎやかだ。{奇抜|きばつ}な{衣装|いしょう}のコスプレイヤーから、孫の手を引くお年寄り[3]、さまざまな人が{訪|おとず}れる。
ch1.review.2.ex.text.2	ゲーム{大国|たいこく}日本[4]のこのイベントは、会場の設備やサービスにも{趣向|しゅこう}が{凝|こ}らされていて、{飽|あ}きることがない。
ch1.review.2.ex.title	
ch1.review.2.ex.type	passage
ch1.review.2.title.ja	問題3 〈文章の文法〉
ch1.review.3.ex.items.0.answer	1
ch1.review.3.ex.items.0.options.0	テレビで{見|み}られるから
ch1.review.3.ex.items.0.options.1	250{年|ねん}{以上|いじょう}{続|つづ}いているから
ch1.review.3.ex.items.0.options.2	{浴衣|ゆかた}を{着|き}ている{人|ひと}が{多|おお}いから
ch1.review.3.ex.items.0.options.3	{船|ふね}に{乗|の}れるから
ch1.review.3.ex.items.0.question	どうして{隅田川|すみだがわ}の花火大会を見に行く人が多いと言っていますか。
ch1.review.3.ex.items.0.questionEn	Why does the reporter say many people go to see the Sumida River fireworks display?
ch1.review.3.ex.items.0.script.0.ja	テレビの番組でリポーターが話しています。
ch1.review.3.ex.items.0.script.0.sp	
ch1.review.3.ex.items.0.script.1.ja	今晩は。今年も花火のシーズンになりました。この番組でも{東京|とうきょう}を{皮切|かわき}りに{新潟|にいがた}、{秋田|あきた}に{至|いた}るまで{東|ひがし}日本の花火大会を追いかけて参ります。
ch1.review.3.ex.items.0.script.1.sp	M1
ch1.review.3.ex.items.0.script.2.ja	さて、私は今、{東京隅田川|とうきょうすみだがわ}の会場におります。今日は、250年以上の歴史がある花火大会とあって、多くの見物客でにぎわっています。今年は{例年|れいねん}にもまして{浴衣|ゆかた}を着た人が目立ちますね。また、船に乗って、花火見物をする人も多く{見受|みう}けられます。
ch1.review.3.ex.items.0.script.2.sp	M1
ch1.review.3.ex.items.0.script.3.ja	花火に{浴衣|ゆかた}か。いいなあ、船から見る花火。一回は見てみたいな。
ch1.review.3.ex.items.0.script.3.sp	F
ch1.review.3.ex.items.0.script.4.ja	のんびりうちでビール飲みながら、テレビで見るのが一番だよ。これが{我|わ}が{家|や}ならではの花火見物だよ。
ch1.review.3.ex.items.0.script.4.sp	M2
ch1.review.3.ex.items.0.script.5.ja	え〜。やっぱり{生|なま}で見たいよ。会場で見ようよ。
ch1.review.3.ex.items.0.script.5.sp	F
ch1.review.3.ex.items.0.script.6.ja	来年な。混んでなかったらな。
ch1.review.3.ex.items.0.script.6.sp	M2
ch1.review.3.ex.items.0.script.7.ja	混んでない花火大会なんてあるわけないじゃない。
ch1.review.3.ex.items.0.script.7.sp	F
ch1.review.3.ex.items.1.answer	0
ch1.review.3.ex.items.1.options.0	{自宅|じたく}
ch1.review.3.ex.items.1.options.1	テレビ{局|きょく}
ch1.review.3.ex.items.1.options.2	{花火大会|はなびたいかい}の{会場|かいじょう}
ch1.review.3.ex.items.1.options.3	{船|ふね}の{中|なか}
ch1.review.3.ex.items.1.question	女の人は今、どこにいますか。
ch1.review.3.ex.items.1.questionEn	Where is the woman now?
ch1.review.3.ex.prompt.ja	まず{話|はなし}を{聞|き}いてください。それから、{二|ふた}つの{質問|しつもん}を{聞|き}いて、それぞれ{問題用紙|もんだいようし}の1から4の{中|なか}から、{最|もっと}もよいものを{一|ひと}つ{選|えら}んでください。
ch1.review.3.ex.type	listening
ch1.review.3.title.ja	問題4 〈{聴解|ちょうかい}〉
ch1.title.ja	オクトーバーフェスト
ch2.canDo.0.ja	{公的|こうてき}な立場の人のスピーチを聞いて、現状の説明と{提言|ていげん}が理解できる。
ch2.genre.ja	スピーチを聞く
ch2.id	2
ch2.parts.0.check.0.bank.0	てやまない
ch2.parts.0.check.0.bank.1	きらいがある
ch2.parts.0.check.0.bank.2	{次第|しだい}です
ch2.parts.0.check.0.bank.3	たりとも
ch2.parts.0.check.0.bank.4	といえども
ch2.parts.0.check.0.items.0.answer	てやまない
ch2.parts.0.check.0.items.0.q	彼女の絵は少し変わっているが、人々をひきつけ＿＿不思議な{魅力|みりょく}がある。
ch2.parts.0.check.0.items.1.answer	たりとも
ch2.parts.0.check.0.items.1.q	初めて家庭菜園に{挑戦|ちょうせん}して、苦労して育てた{大根|だいこん}だから、1本＿＿{無駄|むだ}にしたくない。
ch2.parts.0.check.0.items.2.answer	きらいがある
